Customer ID,Sales,Segment
CUST1000,8581.09,High Value
CUST1001,16434.73,High Value
CUST1002,16392.3,High Value
CUST1003,7448.17,High Value
CUST1004,14797.43,High Value
CUST1005,21626.97,High Value
CUST1006,8936.68,High Value
CUST1007,13842.95,High Value
CUST1008,27294.739999999998,High Value
CUST1009,8940.27,High Value
CUST1010,10810.22,High Value
CUST1011,6748.66,High Value
CUST1012,16995.31,High Value
CUST1013,2758.79,Medium Value
CUST1014,2480.04,Medium Value
CUST1015,8728.16,High Value
CUST1016,6678.280000000001,High Value
CUST1017,9802.44,High Value
CUST1018,32552.57,High Value
CUST1019,17167.88,High Value
CUST1020,11290.91,High Value
CUST1021,14544.46,High Value
CUST1022,11438.67,High Value
CUST1023,16169.09,High Value
CUST1024,7378.16,High Value
CUST1025,9925.84,High Value
CUST1026,23745.94,High Value
CUST1027,12317.8,High Value
CUST1028,18045.45,High Value
CUST1029,25861.19,High Value
CUST1030,16983.73,High Value
CUST1031,23224.91,High Value
CUST1032,11571.64,High Value
CUST1033,13640.75,High Value
CUST1034,14155.85,High Value
CUST1035,20178.19,High Value
CUST1036,16221.13,High Value
CUST1037,19081.97,High Value
CUST1038,19899.01,High Value
CUST1039,9550.130000000001,High Value
CUST1040,18053.9,High Value
CUST1041,20079.61,High Value
CUST1042,15602.0,High Value
CUST1043,7001.68,High Value
CUST1044,23967.12,High Value
CUST1045,8292.369999999999,High Value
CUST1046,12214.05,High Value
CUST1047,15736.35,High Value
CUST1048,25215.29,High Value
CUST1049,17251.84,High Value
